
Motivation_lines,Quotes_category,Images_src
I believe in the spirit of equality and the spirit of this country as one of love and compassion and kindness.,LOVE,https://assets.passiton.com/quotes/quote_artwork/7969/medium/20220824_wednesday_quote.jpg
"We lose ourselves in the things we love. We find ourselves there, too.",LOVE,https://assets.passiton.com/quotes/quote_artwork/6459/medium/20220823_tuesday_quote.jpg
You have the capability to change your life all with a simple shift in perspective.,PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/8356/medium/20220819_friday_quote.jpg
The smallest change in perspective can transform a life. What tiny attitude adjustment might turn your world around?,PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/8355/medium/20220818_thursday_quote.jpg
"It's not what you look at that matters, it's what you see. ",PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/6441/medium/20220817_wednesday_quote.jpg
"Wisdom is your perspective on life, your sense of balance, your understanding of how the various parts and principles apply and relate to each other.",PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/8354/medium/20220816_tuesday_quote.jpg
The best ideas emerge when very different perspectives meet.,PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/8353/medium/20220815_monday_quote.jpg
The biggest adventure you can take is to live the life of your dreams.,LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/8351/medium/20220812_friday_quote.jpg
Twenty years from now you will be more disappointed by the things you didn't do than by the ones you did. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/4171/medium/20220811_thursday_quote.jpg
"Don't be pushed by your problems, be led by your dreams.",LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/6906/medium/20220810_wednesday_quote.jpg
"Although time seems to fly by, it never travels faster than one day at a time. Each day is a new opportunity to live your life to the fullest.",LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/7827/medium/20220809_tuesday_quote.jpg
Every great dream begins with a dreamer.,LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/7065/medium/20220808_monday_quote.jpg
"Confidence comes not from always being right, but from not fearing to be wrong.",CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/6508/medium/20220805_friday_quote.jpg
"Each time we face our fear, we gain strength, courage and confidence in the doing.",CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/7587/medium/20220804_thursday_quote.jpg
Happiness and confidence are the prettiest things you can wear.,CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/7748/medium/20220803_wednesday_quote.jpg
Education breeds confidence.,CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/7673/medium/20220802_tuesday_quote.jpg
Do your little bit of good where you are; its those little bits of good put together that overwhelm the world.,KINDNESS,https://assets.passiton.com/quotes/quote_artwork/5990/medium/20220729_friday_quote.jpg
"A single act of kindness throws out roots in all directions, and the roots spring up and make new trees.",KINDNESS,https://assets.passiton.com/quotes/quote_artwork/7491/medium/20220728_thursday_quote.jpg
We rise by lifting others.,KINDNESS,https://assets.passiton.com/quotes/quote_artwork/4471/medium/20220727_wednesday_quote.jpg
"To achieve a kinder world, we must approach kindness with ambition and dedication. We must practice it in every moment of our lives. Kindness is that important.",KINDNESS,https://assets.passiton.com/quotes/quote_artwork/8014/medium/20220726_tuesday_quote.jpg
How do we change the world? One random act of kindness at a time.,KINDNESS,https://assets.passiton.com/quotes/quote_artwork/8349/medium/20220725_monday_quote.jpg
There’s a way to do it better. Find it.,INNOVATION,https://assets.passiton.com/quotes/quote_artwork/8347/medium/20220722_friday_quote.jpg
Self-discipline coupled with passion and innovation will get you far in this world.,INNOVATION,https://assets.passiton.com/quotes/quote_artwork/8346/medium/20220721_thursday_quote.jpg
You have all the reason in the world to achieve your grandest dreams. Imagination plus innovation equals realization.,INNOVATION,https://assets.passiton.com/quotes/quote_artwork/8204/medium/20220720_wednesday_quote.jpg
"Vulnerability is the birthplace of innovation, creativity and change.",INNOVATION,https://assets.passiton.com/quotes/quote_artwork/8345/medium/20220719_tuesday_quote.jpg
Innovation is to imagine the future and fill in the gaps.,INNOVATION,https://assets.passiton.com/quotes/quote_artwork/8344/medium/20220718_monday_quote.jpg
"I'm not afraid of storms, for I'm learning to sail my ship.",LEARNING,https://assets.passiton.com/quotes/quote_artwork/3030/medium/20220715_friday_quote.jpg
An investment in knowledge always pays the best interest.,LEARNING,https://assets.passiton.com/quotes/quote_artwork/7672/medium/20220714_thursday_quote.jpg
A love of learning has a lot to do with learning that we are loved.,LEARNING,https://assets.passiton.com/quotes/quote_artwork/8343/medium/20220713_wednesday_quote.jpg
"Education is everything—education is your power, education is your way in life for whatever you want to do.",LEARNING,https://assets.passiton.com/quotes/quote_artwork/8342/medium/20220712_tuesday_quote.jpg
Learning is a treasure that will follow its owner everywhere.,LEARNING,https://assets.passiton.com/quotes/quote_artwork/3920/medium/20220711_monday_quote.jpg
"Unity is strength…when there is teamwork and collaboration, wonderful things can be achieved.",UNITY,https://assets.passiton.com/quotes/quote_artwork/7941/medium/20220708_friday_quote.jpg
